Date,Open,High,Low,Close,Adj Close,Volume
2019-06-07,55.529999,55.950001,54.700001,54.709999,54.709999,4097200
2019-06-10,54.709999,54.790001,54.119999,54.480000,54.480000,4450800
2019-06-11,54.369999,54.779999,54.259998,54.549999,54.549999,3396000
2019-06-12,54.759998,55.150002,54.680000,55.150002,55.150002,2884700
2019-06-13,55.150002,55.270000,54.680000,55.150002,55.150002,3444600
2019-06-14,55.369999,55.799999,55.220001,55.650002,55.650002,4081200
2019-06-17,55.630001,55.840000,55.119999,55.500000,55.500000,2989100
2019-06-18,55.720001,55.750000,54.790001,55.259998,55.259998,3842100
2019-06-19,55.020000,56.009998,54.990002,55.740002,55.740002,6153400
2019-06-20,55.820000,56.230000,55.439999,56.020000,56.020000,4018700
2019-06-21,55.849998,56.320000,55.520000,56.270000,56.270000,8627300
2019-06-24,56.330002,56.540001,55.950001,56.279999,56.279999,3741200
2019-06-25,56.250000,56.389999,55.880001,55.980000,55.980000,2704600
2019-06-26,55.849998,55.880001,54.959999,54.980000,54.980000,4704100
2019-06-27,55.160000,55.310001,54.660000,55.080002,55.080002,3413800
2019-06-28,55.029999,55.560001,54.849998,55.279999,55.279999,5611000
2019-07-01,55.099998,55.270000,54.439999,54.840000,54.840000,4368100
2019-07-02,55.090000,55.880001,55.060001,55.860001,55.860001,2913900
2019-07-03,56.000000,56.540001,56.000000,56.310001,56.310001,2629500
2019-07-05,55.930000,56.410000,55.349998,56.360001,56.360001,3133900
2019-07-08,56.470001,56.570000,55.990002,56.310001,56.310001,2789200
